Código da IES;Nome da IES;Sigla da IES;Org. Acadêmica;Categ. Administrativa;UF da IES;Nº de Cursos com CPC no Triênio;alfa (Proporção de Graduandos);Conceito médio da Graduação;beta (Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;gama (Proporção de Doutorandos - Equivalente);Conceito Médio do doutorado;IGC (Contínuo);IGC (Faixa)
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;MT;87;0,806894062;2,785329625;0,127143115;4,330288745;0,065962823;4,694444444;3,107691142;4
2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;DF;86;0,526675355;3,294626793;0,239741865;4,63055115;0,23358278;4,787747036;3,963670966;5
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;SE;88;0,806190286;2,87359321;0,122606895;4,299005682;0,071202819;4,692214112;3,177849543;4
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pública Federal;AM;74;0,85511385;2,699897147;0,101450364;4,262711864;0,043435786;4,564456722;2,93943388;3
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;PI;74;0,86483345;2,629068687;0,095480057;4,289401428;0,039686493;4,612662942;2,866319252;3
6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pública Federal;MG;44;0,78310564;3,078483498;0,152306236;4,391528108;0,064588124;4,69375;3,382795412;4
7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pública Federal;SP;56;0,467358852;3,325324733;0,239516956;4,55682265;0,293124192;4,790895813;4,049883704;5
8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;MG;63;0,517987522;3,379295135;0,223372716;4,667437558;0,258639763;4,915;4,064225348;5
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pública Estadual;PR;47;0,628989503;3,134053776;0,207878274;4,52483011;0,163132224;4,754143646;3,687454823;4
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada Sem Fins Lucrativos;PR;75;0,817705892;2,86343081;0,09267073;4,722680412;0,089623379;4,877693283;3,216253835;4
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada Sem Fins Lucrativos;PE;28;0,890380981;2,620456382;0,07012832;4,413212435;0,039490699;4,627840909;2,825452371;3
12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pública Federal;RS;42;0,682292588;2,940647087;0,177604812;4,42194674;0,1401026;4,783568905;3,461931172;4
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada Sem Fins Lucrativos;RS;102;0,932212361;2,787037237;0,048448823;4,524096386;0,019338816;4,770053476;2,909544895;3
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada Sem Fins Lucrativos;RS;68;0,796280351;3,182481498;0,109557431;4,694069069;0,094162218;4,889820359;3,508853963;4
15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Privada Sem Fins Lucrativos;RJ;22;0,906699094;2,535485514;0,08556268;4,186170213;0,007738227;4;2,688055266;3
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pública Federal;MG;84;0,65525073;3,17327829;0,187137244;4,548686869;0,157612026;4,869113573;3,697952495;4
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Privada Sem Fins Lucrativos;RS;21;0,869716776;2,536057633;0,063616558;4,441935484;0,066666667;4,667938931;2,799428441;3
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada Sem Fins Lucrativos;SP;47;0,949032417;2,514522304;0,033156662;4,396666667;0,017810921;4,902912621;2,619467359;3
20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada Sem Fins Lucrativos;RS;79;0,895147167;2,576430426;0,072594769;4,404929577;0,032258065;4,689583333;2,777336122;3
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Privada Sem Fins Lucrativos;RS;48;0,694019173;2,959062683;0,134353985;4,952436195;0,171626842;4,969604863;3,571943363;4
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE;Universidade;Privada Sem Fins Lucrativos;SP;35;0,899198859;2,879417129;0,060140474;4,717777778;0,040660667;4,901709402;3,072204763;4
23;UNIVERSIDADE FEEVALE;FEEVALE;Universidade;Privada Sem Fins Lucrativos;RS;42;0,936344702;3,044924054;0,041200208;4,622340426;0,02245509;5;3,153815343;4
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Universidade;Pública Estadual;BA;32;0,716608904;2,942238938;0,186350307;4,412532637;0,097040789;4,759515571;3,392578578;4
27;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;Universidade;Privada Sem Fins Lucrativos;MG;23;0,985531629;2,662554584;0,014468371;4;0;0;2,681905241;3
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Universidade;Pública Estadual;CE;64;0,811265087;2,541788264;0,122887796;4,384491634;0,065847117;4,848197343;2,920104408;3
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Universidade;Privada Sem Fins Lucrativos;MG;22;0,962198426;2,912871215;0,02851245;4,25170068;0,009289124;4,423076923;2,965073011;4
32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;Universidade;Pública Estadual;AL;6;1;2,294109087;0;0;0;0;2,294109087;3
33;FACULDADE DE TECNOLOGIA DE SOROCABA;FATEC SO;Faculdade;Pública Estadual;SP;2;1;2,936404244;0;0;0;0;2,936404244;3
34;FACULDADE DE TECNOLOGIA DE SÃO PAULO;FATEC-SP;Faculdade;Pública Estadual;SP;1;1;2,528259586;0;0;0;0;2,528259586;3
35;FACULDADE DE TECNOLOGIA DE AMERICANA;FATEC-AM;Faculdade;Pública Estadual;SP;3;1;2,707567271;0;0;0;0;2,707567271;3
36;FACULDADE DE TECNOLOGIA RUBENS LARA;FATEC-BS;Faculdade;Pública Estadual;SP;3;1;2,637948316;0;0;0;0;2,637948316;3
37;FACULDADE DE TECNOLOGIA DE JAHU;FATEC-JAHU;Faculdade;Pública Estadual;SP;3;1;2,48064389;0;0;0;0;2,48064389;3
40;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;Universidade;Pública Estadual;BA;112;0,910423377;2,570904597;0,075432946;4,36695279;0,014143677;5;2,740742145;3
43;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;Universidade;Pública Estadual;SC;40;0,716986001;3,149268071;0,179988388;4,41236102;0,103025611;4,724693252;3,538919277;4
47;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;Universidade;Pública Estadual;GO;122;0,954339337;2,412175711;0,043141454;4,23655914;0,002519209;4,5;2,49614193;3
54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;Universidade;Pública Estadual;SP;68;0,289696947;3,19785555;0,272958306;4,836545659;0,437344747;4,89881141;4,389053737;5
56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;Universidade;Pública Estadual;SP;151;0,464174588;3,142920104;0,248199139;4,758754864;0,287626273;4,881435134;4,044011499;5
57;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;Universidade;Pública Estadual;PR;66;0,626605835;2,906915505;0,189338456;4,597679814;0,184055709;4,842496766;3,58329699;4
58;FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO;FDSBC;Faculdade;Pessoa Jurídica De Direito Público - Municipal;SP;1;1;2,576024428;0;0;0;0;2,576024428;3
59;FACULDADE DE DIREITO DE FRANCA;FDF;Faculdade;Pessoa Jurídica De Direito Público - Municipal;SP;1;1;2,53291952;0;0;0;0;2,53291952;3
60;CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA;UNI-FACEF;Centro Universitário;Especial;SP;12;0,973748474;2,611001244;0,026251526;4;0;0;2,647464581;3
67;ESCOLA DE ENGENHARIA DE PIRACICABA;EEP/FUMEP;Faculdade;Pública Municipal;SP;6;1;2,536882423;0;0;0;0;2,536882423;3
68;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS;FAFIPE;Faculdade;Pública Municipal;SP;3;1;2,288017924;0;0;0;0;2,288017924;3
71;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;Universidade;Pública Estadual;RN;65;0,892818442;2,486949596;0,096148163;4,135416667;0,011033396;4,5;2,667657458;3
73;CENTRO DE ENSINO SUPERIOR DE ARCOVERDE;CESA;Faculdade;Especial;PE;6;1;1,753046272;0;0;0;0;1,753046272;2
74;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO;FFCL;Faculdade;Pública Municipal;SP;7;1;1,435012578;0;0;0;0;1,435012578;2
76;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;Universidade;Pública Municipal;SC;41;0,901624902;2,533347871;0,069596711;4,482044199;0,028778387;4,9;2,737079157;3
77;FACULDADE DA REGIÃO DOS LAGOS;FERLAGOS;Faculdade;Privada Sem Fins Lucrativos;RJ;5;1;3,436076755;0;0;0;0;3,436076755;4
78;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE;FAFIA;Faculdade;Pública Municipal;ES;6;1;1,925391156;0;0;0;0;1,925391156;2
79;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA;IMES CATANDUVA;Faculdade;Pública Municipal;SP;6;1;2,653457822;0;0;0;0;2,653457822;3
80;CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ;UNIDAVI;Centro Universitário;Privada Sem Fins Lucrativos;SC;19;1;2,690095953;0;0;0;0;2,690095953;3
81;UNIVERSIDADE DA REGIÃO DE JOINVILLE;UNIVILLE;Universidade;Privada Sem Fins Lucrativos;SC;37;0,939817705;2,476573454;0,051442128;4,411504425;0,008740167;4,5;2,593795506;3
82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Universidade;Privada Sem Fins Lucrativos;SC;73;0,965989923;2,700940711;0,032824541;4,317343173;0,001185536;4,5;2,75613123;3
83;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;Universidade;Privada Sem Fins Lucrativos;SC;54;0,893063584;2,766698458;0,065107725;4,628415301;0,041828692;4,936823105;2,97868408;4
84;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;FAFIMA;Faculdade;Privada Sem Fins Lucrativos;RJ;6;1;2,464406626;0;0;0;0;2,464406626;3
87;CENTRO UNIVERSITÁRIO DE BRUSQUE;UNIFEBE;Centro Universitário;Privada Sem Fins Lucrativos;SC;15;1;2,707188523;0;0;0;0;2,707188523;3
93;FACULDADE DE MEDICINA DE JUNDIAÍ;FMJ;Faculdade;Pessoa Jurídica De Direito Público - Municipal;SP;2;0,885159011;3,414296748;0,072438163;4;0,042402827;4,5;3,502760902;4
95;UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ;UVA;Universidade;Pública Estadual;CE;25;0,985896724;2,27756949;0,014103276;4,128712871;0;0;2,303676676;3
99;FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE;FDCL;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;1,971871114;0;0;0;0;1,971871114;3
107;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;UFSJ;Universidade;Pública Federal;MG;38;0,845596038;3,216539045;0,124336753;4,255913978;0,030067209;4,618421053;3,387922229;4
109;FACULDADES INTEGRADAS RUI BARBOSA;FIRB;Faculdade;Privada Com Fins Lucrativos;SP;5;1;2,473782146;0;0;0;0;2,473782146;3
124;UNIVERSIDADE DE ARARAQUARA;UNIARA;Universidade;Privada Sem Fins Lucrativos;SP;30;0,938135593;2,541731682;0,050968523;4,456818182;0,010895884;4,5;2,660677876;3
125;CENTRO UNIVERSITÁRIO DE ARARAS -;UNAR;Centro Universitário;Privada Sem Fins Lucrativos;SP;16;1;2,51120213;0;0;0;0;2,51120213;3
126;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;Faculdade;Privada Sem Fins Lucrativos;MG;4;0,903780069;2,967168936;0,096219931;4,5;0;0;3,114657836;4
131;FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA;FAEFI;Faculdade;Privada Sem Fins Lucrativos;SP;2;1;1,884292664;0;0;0;0;1,884292664;2
135;CENTRO UNIVERSITÁRIO CLARETIANO;CEUCLAR;Centro Universitário;Privada Sem Fins Lucrativos;SP;37;1;3,068629493;0;0;0;0;3,068629493;4
137;UNIVERSIDADE DO SAGRADO CORAÇÃO;USC;Universidade;Privada Sem Fins Lucrativos;SP;36;0,942176871;3,125497178;0,040637308;4,097368421;0,017185822;4,5;3,188613369;4
138;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;CBM;Centro Universitário;Privada Sem Fins Lucrativos;SP;25;1;2,753813861;0;0;0;0;2,753813861;3
139;FACULDADE DE CIÊNCIAS ECONÔMICAS DO TRIÂNGULO MINEIRO;FCETM;Faculdade;Privada Sem Fins Lucrativos;MG;2;1;3,868830371;0;0;0;0;3,868830371;4
140;UNIVERSIDADE DE VASSOURAS;;Universidade;Privada Sem Fins Lucrativos;RJ;13;0,976613966;2,740011037;0,023386034;4;0;0;2,769477182;3
141;FACULDADE DE DIREITO DE VARGINHA - FADIVA;FADIVA;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;2,238722832;0;0;0;0;2,238722832;3
142;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;UNITRI;Centro Universitário;Privada Sem Fins Lucrativos;MG;20;1;2,378642381;0;0;0;0;2,378642381;3
143;UNIVERSIDADE DE UBERABA;UNIUBE;Universidade;Privada Sem Fins Lucrativos;MG;51;0,988215488;2,330893697;0,009735031;4,286982249;0,00204948;4,5;2,354381821;3
144;FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA;FACHO;Faculdade;Privada Sem Fins Lucrativos;PE;4;1;2,451114961;0;0;0;0;2,451114961;3
146;CENTRO UNIVERSITÁRIO DE RIO PRETO;UNIRP;Centro Universitário;Privada Com Fins Lucrativos;SP;30;1;2,595713997;0;0;0;0;2,595713997;3
149;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;FAMERP;Faculdade;Pessoa Jurídica De Direito Público - Estadual;SP;2;0,54743833;3,364815364;0,287476281;4,194954128;0,165085389;4,5;3,790862966;4
150;UNIVERSIDADE DE SOROCABA;UNISO;Universidade;Privada Sem Fins Lucrativos;SP;54;0,951000118;2,49910146;0,035270446;4,5;0,013729435;4,5;2,597145251;3
151;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO;FGV-EAESP;Faculdade;Privada Sem Fins Lucrativos;SP;2;0,430704898;3,522902775;0,308044604;4,644230769;0,261250498;5;4,254214198;5
152;FACULDADE DE CIÊNCIAS CONTÁBEIS;FACIC;Faculdade;Privada Sem Fins Lucrativos;BA;1;1;2,46059719;0;0;0;0;2,46059719;3
158;CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO;CBM/CEU;Centro Universitário;Privada Sem Fins Lucrativos;RJ;1;1;2,646872635;0;0;0;0;2,646872635;3
159;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU;FAFICA;Faculdade;Privada Sem Fins Lucrativos;PE;11;1;2,42617275;0;0;0;0;2,42617275;3
160;FACULDADE FRASSINETTI DO RECIFE;FAFIRE;Faculdade;Privada Sem Fins Lucrativos;PE;12;1;2,468990932;0;0;0;0;2,468990932;3
161;CENTRO UNIVERSITÁRIO ASSUNÇÃO;UNIFAI;Centro Universitário;Privada Sem Fins Lucrativos;SP;7;1;2,448231162;0;0;0;0;2,448231162;3
162;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO;FEBASP;Centro Universitário;Privada Sem Fins Lucrativos;SP;3;0,996593674;2,515260954;0,003406326;4;0;0;2,52031846;3
163;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Universidade;Privada Com Fins Lucrativos;RJ;334;0,994092969;3,025895264;0,00366379;4,6203125;0,002243241;4,783625731;3,035679886;4
165;UNIVERSIDADE VEIGA DE ALMEIDA;UVA;Universidade;Privada Com Fins Lucrativos;RJ;60;0,982370119;2,925879462;0,012510365;4,38974359;0,005119515;4,5;2,952251671;4
166;FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO;;Faculdade;Privada Sem Fins Lucrativos;MG;3;1;2,888325248;0;0;0;0;2,888325248;3
167;UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Universidade;Privada Sem Fins Lucrativos;SP;44;0,944567394;2,664464563;0,032089788;4,66221374;0,023342818;4,758522727;2,777453129;3
170;FACULDADES DA FUNDAÇÃO DE ENSINO DE MOCOCA;FAFEM;Faculdade;Pública Municipal;SP;4;1;1,701196525;0;0;0;0;1,701196525;2
171;FACULDADE DE DIREITO DO SUL DE MINAS;FDSM;Faculdade;Privada Sem Fins Lucrativos;MG;1;0,88700565;2,747093318;0,11299435;4,5;0;0;2,94516187;4
176;UNIVERSIDADE CASTELO BRANCO;UCB;Universidade;Privada Sem Fins Lucrativos;RJ;37;1;2,513181147;0;0;0;0;2,513181147;3
190;ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES;EMSM;Faculdade;Privada Sem Fins Lucrativos;RJ;1;1;2,266215568;0;0;0;0;2,266215568;3
191;FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS;FCCAE;Faculdade;Privada Sem Fins Lucrativos;RJ;2;1;2,05582398;0;0;0;0;2,05582398;3
192;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES;FFCLSM;Faculdade;Privada Sem Fins Lucrativos;RJ;9;1;2,015372403;0;0;0;0;2,015372403;3
193;FACULDADE DE ENGENHARIA SOUZA MARQUES;FESM;Faculdade;Privada Sem Fins Lucrativos;RJ;2;1;2,535135947;0;0;0;0;2,535135947;3
194;ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES;EEFTESM;Faculdade;Privada Sem Fins Lucrativos;RJ;1;1;4,076567947;0;0;0;0;4,076567947;5
195;FACULDADE MORAES JÚNIOR - MACKENZIE RIO;FMJ - MACKENZIE RIO;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;RJ;4;1;2,820829472;0;0;0;0;2,820829472;3
197;FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ;FESPPR;Faculdade;Privada Sem Fins Lucrativos;PR;3;1;2,163914454;0;0;0;0;2,163914454;3
200;FACULDADE CÁSPER LÍBERO;FCL;Faculdade;Privada Sem Fins Lucrativos;SP;2;0,918575064;2,589556555;0,081424936;4,5;0;0;2,745114291;3
202;FACULDADE DO RIO DE JANEIRO;;Faculdade;Privada Com Fins Lucrativos;RJ;6;1;1,633037149;0;0;0;0;1,633037149;2
203;UNIVERSIDADE SÃO JUDAS TADEU;USJT;Universidade;Privada Com Fins Lucrativos;SP;44;0,986850913;3,229398256;0,009419528;4,307377049;0,003729559;4,5;3,244291092;4
206;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;UNIÍTALO;Centro Universitário;Privada Sem Fins Lucrativos;SP;18;1;2,677660811;0;0;0;0;2,677660811;3
207;CENTRO UNIVERSITÁRIO MOURA LACERDA;CUML;Centro Universitário;Privada Sem Fins Lucrativos;SP;24;0,988781014;2,887501653;0,011218986;4;0;0;2,899982756;3
208;UNIVERSIDADE DE RIBEIRÃO PRETO;UNAERP;Universidade;Privada Sem Fins Lucrativos;SP;33;0,933181559;3,017540265;0,038474673;4,408602151;0,028343768;4,631818182;3,116815634;4
213;CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO;FECAP;Centro Universitário;Privada Sem Fins Lucrativos;SP;6;0,928517398;3,20516005;0,071482602;4,215909091;0;0;3,277411022;4
214;FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG;FEAMIG;Faculdade;Privada Sem Fins Lucrativos;MG;3;1;2,752116813;0;0;0;0;2,752116813;3
216;CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX;CEUNIH;Centro Universitário;Privada Sem Fins Lucrativos;MG;23;1;2,4755851;0;0;0;0;2,4755851;3
217;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE;UNIFAE;Centro Universitário;Especial;SP;14;0,973612375;2,726372858;0,026387625;4;0;0;2,759980854;3
219;FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL;FAECA DOM BOSCO;Faculdade;Privada Sem Fins Lucrativos;SP;5;1;2,058307289;0;0;0;0;2,058307289;3
220;FACULDADE SÃO JUDAS TADEU;FSJT;Faculdade;Privada Sem Fins Lucrativos;RJ;3;1;2,305342396;0;0;0;0;2,305342396;3
221;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Universidade;Privada Com Fins Lucrativos;SP;81;0,975776058;2,962055918;0,013349061;4,702072539;0,010874881;4,697761194;3,004159095;4
222;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;UNIFEV;Centro Universitário;Privada Sem Fins Lucrativos;SP;31;1;2,745267386;0;0;0;0;2,745267386;3
224;FACULDADE DE MEDICINA DO ABC;FMABC;Faculdade;Privada Sem Fins Lucrativos;SP;6;0,842670401;3,375605542;0,097105509;4;0,06022409;4;3,473841271;4
225;FACULDADE DE SANTO ANDRÉ;;Faculdade;Privada Sem Fins Lucrativos;SP;7;1;2,146439273;0;0;0;0;2,146439273;3
226;CENTRO UNIVERSITÁRIO LUSÍADA;UNILUS;Centro Universitário;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;SP;7;1;2,598848258;0;0;0;0;2,598848258;3
227;UNIVERSIDADE CATÓLICA DE SANTOS;UNISANTOS;Universidade;Privada Sem Fins Lucrativos;SP;30;0,927579539;2,954221564;0,047108455;4,5;0,025312006;4,5;3,06616755;4
231;FACULDADE DE SÃO BERNARDO DO CAMPO - FASB;FASB I;Faculdade;Privada Sem Fins Lucrativos;SP;7;1;2,683234417;0;0;0;0;2,683234417;3
234;FACULDADES OSWALDO CRUZ;FOC;Faculdade;Privada Com Fins Lucrativos;SP;10;1;2,604296731;0;0;0;0;2,604296731;3
240;UNIVERSIDADE SANTA ÚRSULA;USU;Universidade;Privada Sem Fins Lucrativos;RJ;7;0,963;2,263352746;0,037;4;0;0;2,327608694;3
242;CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ;UNIA;Centro Universitário;Privada Com Fins Lucrativos;SP;14;1;2,038027494;0;0;0;0;2,038027494;3
243;FACULDADE DO CLUBE NÁUTICO MOGIANO;FCNM;Faculdade;Privada Sem Fins Lucrativos;SP;3;1;2,628512149;0;0;0;0;2,628512149;3
244;CENTRO UNIVERSITÁRIO FIEO;UNIFIEO;Centro Universitário;Privada Sem Fins Lucrativos;SP;29;0,970050215;2,347743679;0,022058824;4,240963855;0,007890961;4,5;2,40648926;3
254;CENTRO UNIVERSITÁRIO DE SÃO PAULO - UNI SÃO PAULO;;Centro Universitário;Privada Com Fins Lucrativos;SP;12;1;2,178616742;0;0;0;0;2,178616742;3
255;FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA - FEAP;FEAP;Faculdade;Privada Sem Fins Lucrativos;SP;1;1;1,220730535;0;0;0;0;1,220730535;2
263;FACULDADES INTEGRADAS CAMPOS SALLES;FICS;Faculdade;Privada Sem Fins Lucrativos;SP;8;1;2,494698719;0;0;0;0;2,494698719;3
265;FACULDADES INTEGRADAS DE OURINHOS;FIO;Faculdade;Privada Sem Fins Lucrativos;SP;13;1;3,384882785;0;0;0;0;3,384882785;4
266;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP;Universidade;Privada Sem Fins Lucrativos;SP;45;0,903877385;2,542559587;0,052476654;4,446886447;0,04364596;4,655913978;2,734731672;3
267;CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA;;Centro Universitário;Privada Sem Fins Lucrativos;ES;10;1;3,687979769;0;0;0;0;3,687979769;4
268;FACULDADE DE DIREITO DA ALTA PAULISTA;FADAP;Faculdade;Privada Com Fins Lucrativos;SP;1;1;2,122687378;0;0;0;0;2,122687378;3
269;FACULDADE FACCAT;FACCAT;Faculdade;Privada Com Fins Lucrativos;SP;8;1;2,077204763;0;0;0;0;2,077204763;3
270;FACULDADE DE TUPÃ;;Faculdade;Privada Com Fins Lucrativos;SP;3;1;2,498191519;0;0;0;0;2,498191519;3
271;UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Universidade;Privada Sem Fins Lucrativos;SP;41;0,967240117;3,313735162;0,025805271;4,448430493;0,006954612;4,5;3,351266295;4
275;UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP;Universidade;Privada Sem Fins Lucrativos;SP;28;0,898127128;2,527349354;0,04568672;4,206140351;0,056186152;4,383928571;2,70836185;3
276;FACULDADE DE DIREITO DE SOROCABA;FADI;Faculdade;Privada Sem Fins Lucrativos;SP;1;1;2,56369438;0;0;0;0;2,56369438;3
277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;UNISUAM;Centro Universitário;Privada Sem Fins Lucrativos;RJ;46;0,98269275;2,449403115;0,016018412;4,5;0,001288838;4,5;2,484893308;3
278;FACULDADES INTEGRADAS SIMONSEN;FIS;Faculdade;Privada Sem Fins Lucrativos;RJ;10;1;2,492434202;0;0;0;0;2,492434202;3
279;FACULDADES INTEGRADAS HÉLIO ALONSO;FACHA;Faculdade;Privada Sem Fins Lucrativos;RJ;6;1;2,309160259;0;0;0;0;2,309160259;3
284;FACULDADE DE MEDICINA DE ITAJUBÁ;FMIT;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;2,241160754;0;0;0;0;2,241160754;3
288;FACULDADE DE DIREITO DO VALE DO RIO DOCE;FADIVALE;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;1,889500909;0;0;0;0;1,889500909;2
294;FACULDADE TRÊS DE MAIO;SETREM;Faculdade;Privada Sem Fins Lucrativos;RS;9;1;2,802748757;0;0;0;0;2,802748757;3
295;UNIVERSIDADE DE SANTA CRUZ DO SUL;UNISC;Universidade;Privada Sem Fins Lucrativos;RS;52;0,8944331;2,862316353;0,077599219;4,640992167;0,027967682;4,834745763;3,055504485;4
296;UNIVERSIDADE DA REGIÃO DA CAMPANHA;URCAMP;Universidade;Privada Sem Fins Lucrativos;RS;36;1;2,250581181;0;0;0;0;2,250581181;3
298;UNIVERSIDADE PITÁGORAS UNOPAR;;Universidade;Privada Com Fins Lucrativos;PR;56;0,998397218;2,530809443;0,001265517;4,438073394;0,000337265;4,797619048;2,533987634;3
299;FACULDADE DE JANDAIA DO SUL;FAFIJAN;Faculdade;Privada Sem Fins Lucrativos;PR;6;1;2,424868947;0;0;0;0;2,424868947;3
302;FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E CONTÁBEIS DE DIVINÓPOLIS;FACED;Faculdade;Privada Com Fins Lucrativos;MG;4;1;2,811844581;0;0;0;0;2,811844581;3
