Código da IES;Nome da IES;Sigla da IES;Org. Acadêmica;Categ. Administrativa;UF da IES;Nº de Cursos com CPC no Triênio;alfa (Proporção de Graduandos);Conceito médio da Graduação;beta (Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;gama (Proporção de Doutorandos - Equivalente);Conceito Médio do doutorado;IGC (Contínuo);IGC (Faixa)
14069;FACULDADE DE TECNOLOGIA PORTO SUL;FAPS;Faculdade;Privada Com Fins Lucrativos;SP;4;1;2,394059445;0;0;0;0;2,394059445;3
14090;FACULDADE BETIM;FABE;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;2;1;2,610080321;0;0;0;0;2,610080321;3
14097;FACULDADE REFIDIM;Refidim;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;SC;1;1;2,131840729;0;0;0;0;2,131840729;3
14101;Faculdade Presidente Antônio Carlos de Baependi;FUNEES Baependi;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;2,034536905;0;0;0;0;2,034536905;3
14115;Faculdade Presidente Antônio Carlos de Ponte Nova;;Faculdade;Privada Sem Fins Lucrativos;MG;3;1;3,010938493;0;0;0;0;3,010938493;4
14128;Faculdade Presidente Antônio Carlos de Vazante;FEES Vazante;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;1,140785306;0;0;0;0;1,140785306;2
14132;Faculdade Presidente Antônio Carlos de Itanhandu;FUNEES Itanhandu;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;1,764235244;0;0;0;0;1,764235244;2
14133;Faculdade Presidente Antônio Carlos de Lambari;FAPAC LAMBARI;Faculdade;Privada Sem Fins Lucrativos;MG;2;1;2,186641358;0;0;0;0;2,186641358;3
14147;Faculdade Presidente Antônio Carlos de Barão de Cocais;;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;2,418392254;0;0;0;0;2,418392254;3
14148;Faculdade Presidente Antônio Carlos de Mariana;FUNEC Mariana;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;3,062438533;0;0;0;0;3,062438533;4
14151;Faculdade Presidente Antônio Carlos de Nova Lima;FUNEC Nova Lima;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;1,61375002;0;0;0;0;1,61375002;2
14156;Faculdade Presidente Antônio Carlos de Teófilo Otoni;;Faculdade;Privada Sem Fins Lucrativos;MG;8;1;2,186967797;0;0;0;0;2,186967797;3
14157;Faculdade de Educação e Estudos Sociais de Uberlândia;FEESU;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;2,055694844;0;0;0;0;2,055694844;3
14158;FACULDADE DE TECNOLOGIA DE NOVO CABRAIS;;Faculdade;Privada Com Fins Lucrativos;RS;1;1;2,725498185;0;0;0;0;2,725498185;3
14161;Faculdade Única de Contagem;FUNIC;Faculdade;Privada Sem Fins Lucrativos;MG;3;1;2,298080074;0;0;0;0;2,298080074;3
14162;Faculdade Presidente Antônio Carlos de Governador Valadares;FAPAC - GV;Faculdade;Privada Sem Fins Lucrativos;MG;5;1;2,063937604;0;0;0;0;2,063937604;3
14165;FACULDADE TRÊS PONTAS;FATEP;Faculdade;Privada Sem Fins Lucrativos;MG;3;1;3,156345631;0;0;0;0;3,156345631;4
14166;Faculdade Presidente Antônio Carlos de Itabira;FUNEES Itabira;Faculdade;Pessoa Jurídica De Direito Privado - Sem Fins Lucrativos;MG;1;1;1,936488578;0;0;0;0;1,936488578;2
14204;Faculdade Presidente Antônio Carlos de Arcos;FUNEES Arcos;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;1,654170281;0;0;0;0;1,654170281;2
14242;FACULDADE ÚNICA DE TIMÓTEO;FUNIT;Faculdade;Pessoa Jurídica De Direito Privado - Com Fins Lucrativos;MG;2;1;2,210545832;0;0;0;0;2,210545832;3
